Estimated.Number.of.Cells,Mean.Reads.per.Cell,Median.Genes.per.Cell,Number.of.Reads,Valid.Barcodes%,Sequencing.Saturation%,Q30.Bases.in.Barcode%,Q30.Bases.in.RNA.Read%,Q30.Bases.in.Sample.Index%,Q30.Bases.in.UMI%,Reads.Mapped.to.Genome%,Reads.Mapped.Confidently.to.Genome%,Reads.Mapped.Confidently.to.Intergenic.Regions%,Reads.Mapped.Confidently.to.Intronic.Regions%,Reads.Mapped.Confidently.to.Exonic.Regions%,Reads.Mapped.Confidently.to.Transcriptome%,Reads.Mapped.Antisense.to.Gene%,Fraction.Reads.in.Cells%,Total.Genes.Detected,Median.UMI.Counts.per.Cell
SCRN_PPMI18567_4073_da65,7459,40428,3469,301559695,97.6,34.9,96.7,94.8,95.5,96.7,93.3,86.4,2,18.4,65.9,58.7,1.7,91.1,43826,11880
SCRN_PPMI3186_2662_da65,9059,33791,3005,306114566,97.5,35.2,96.7,94.5,95.3,96.8,93.2,86.9,3.2,26.5,57.1,50,2.1,92.6,46341,8394
SCRN_PPMI3234_1338_da65,6445,48116,3602,310112906,97.6,37.5,96.5,94.7,94.4,96.6,93.3,86.8,3,22.3,61.5,54.7,1.8,91.6,45709,12005
SCRN_PPMI3409_0660_da65,7722,42263,3759,326361140,97.9,34.5,96.7,95.4,95.9,96.8,95.1,88.8,2.7,22.1,63.9,57.3,1.5,92,46017,12522
SCRN_PPMI3446_0966_da65,5739,51233,3807,294030098,97.6,38.1,96.7,94.7,95.4,96.8,93.4,86.2,2.2,19,65,57.7,1.8,93.2,43850,14884
SCRN_PPMI3452_7426_da65,6356,49097,3625,312066200,97.8,41.3,96.7,95,95.9,96.8,94.9,89.1,2.5,22.1,64.5,56.9,1.8,95.1,44174,12156
SCRN_PPMI3453_7504_da65,11914,23328,2363,277935282,97.6,32.2,96.7,95.1,93.9,96.8,93.7,86.9,3,23.2,60.8,53.7,2,90.9,45600,6220
SCRN_PPMI3588_6182_da65,7602,40007,3480,304136448,97.7,35,96.8,94.7,94.7,96.8,93,86.6,3,24.8,58.7,52,1.8,91,46109,10854
SCRN_PPMI3658_4030_da65,3333,81815,4307,272691624,97.5,42.4,96.8,94.9,94.5,96.8,91.6,84.9,2.5,21.7,60.7,54.3,2,88.1,42299,18608
SCRN_PPMI3666_3014_da65,3600,87834,4584,316203167,97.6,50.6,96.8,95.6,95.1,96.9,95.7,89.7,2.5,21,66.2,59.3,1.8,93.4,43672,19123
SCRN_PPMI3668_3953_da65,6956,46123,3522,320835479,97.5,37.7,96.7,95.2,95.1,96.8,93.5,86.7,2.6,21.2,62.9,55.7,1.9,92.9,44780,11822
SCRN_PPMI3952_7804_da65,7241,40024,3459,289818256,97.6,35,96.7,94.6,94.3,96.7,93.7,87.2,2.6,22.7,61.9,54.8,1.8,92.2,44434,11592
SCRN_PPMI3954_9979_da65,9654,27999,2771,270311735,97.4,31.8,96.6,95,94,96.7,92.9,86.4,2.5,22.3,61.6,54.4,1.9,91.7,44342,7968
SCRN_PPMI3966_2813_da65,3339,90526,5088,302268062,97.8,38,97.4,93.4,95.6,97.4,95.5,89.3,2.2,20,67.1,59.8,1.9,90.7,44118,23639
SCRN_PPMI40273_2140_da65,8803,37495,3186,330077245,97.6,35.3,96.8,95,94.7,96.8,93.8,87.5,3.2,25.6,58.8,51.9,1.9,93.7,46237,9175
SCRN_PPMI42072_4755_da65,8182,38402,3606,314210913,97.9,34.6,96.7,95,95.4,96.8,94.1,88,2.7,24,61.4,54.5,1.6,89.9,45718,10980
SCRN_PPMI50184_7165_da65,2580,127739,5548,329567540,97.8,45.4,96.7,94.6,95,96.7,93.7,86.4,2,18.4,65.9,58.9,1.7,90.7,43200,30107
